zip,county,latitude,longitude,est_population
81253,Custer County,38.23,-105.08,370
81290,Fremont County,38.38,-105.11,0
81301,La Plata County,37.27,-107.88,23420
81302,La Plata County,37.27,-107.88,2877
81303,La Plata County,37.14,-107.88,6750
81320,Dolores County,37.65,-108.82,220
81321,Montezuma County,37.35,-108.57,12430
81323,Montezuma County,37.47,-108.49,3880
81324,Dolores County,37.76,-108.9,1150
81325,San Miguel County,37.92,-108.93,82
81326,La Plata County,37.28,-108.03,2020
81327,Montezuma County,37.5,-108.67,500
81328,Montezuma County,37.34,-108.29,3350
81329,La Plata County,37.12,-108.13,132
81330,Montezuma County,37.18,-108.49,45
81331,Montezuma County,37.58,-108.76,320
81332,Dolores County,37.7,-107.99,206
81334,Montezuma County,37.2,-108.72,688
81335,Montezuma County,37.5,-108.76,185
81401,Montrose County,38.49,-107.87,19590
81402,Montrose County,38.49,-107.87,1613
81403,Montrose County,38.3,-107.9,9570
81410,Delta County,38.8,-107.97,1330
81411,Montrose County,38.25,-108.98,63
81413,Delta County,38.89,-107.92,4280
81414,Delta County,38.77,-107.98,181
81415,Delta County,38.7,-107.6,1230
81416,Delta County,38.74,-108.07,11400
81418,Delta County,38.84,-107.95,1310
81419,Delta County,38.8,-107.71,3060
81420,Delta County,38.78,-107.77,71
81422,Montrose County,38.21,-108.56,380
81423,San Miguel County,38.13,-108.29,1294
81424,Montrose County,38.26,-108.55,980
81425,Montrose County,38.6,-107.98,4520
81426,San Miguel County,37.87,-107.89,148
81427,Ouray County,38.03,-107.64,1175
81428,Delta County,38.86,-107.59,2950
81429,Montrose County,38.37,-108.95,102
81430,San Miguel County,38.02,-108.07,342
81431,Montrose County,38.18,-108.42,250
81432,Ouray County,38.15,-107.75,2610
81433,San Juan County,37.82,-107.64,498
81434,Gunnison County,38.92,-107.43,119
81435,San Miguel County,37.94,-107.9,5260
81501,Mesa County,39.08,-108.55,15200
81502,Mesa County,39.08,-108.55,2169
81503,Mesa County,39.03,-108.43,13570
81504,Mesa County,39.08,-108.49,26500
81505,Mesa County,39.26,-108.53,9490
81506,Mesa County,39.11,-108.53,9870
81507,Mesa County,38.99,-108.66,14310
81520,Mesa County,39.07,-108.46,11760
81521,Mesa County,39.15,-108.72,14670
81522,Mesa County,38.68,-108.99,110
81523,Mesa County,39,-108.73,556
81524,Mesa County,39.2,-108.82,1900
81525,Mesa County,39.22,-108.87,770
81526,Mesa County,39.1,-108.35,4590
81527,Mesa County,38.98,-108.43,1770
81601,Garfield County,39.54,-107.33,13160
81602,Garfield County,39.54,-107.33,2258
81610,Moffat County,40.24,-109,350
81611,Pitkin County,39.19,-106.82,6380
81612,Pitkin County,39.13,-106.84,4630
81615,Pitkin County,39.19,-106.93,1692
81620,Eagle County,39.65,-106.53,10108
81621,Eagle County,39.36,-107.02,6360
81623,Garfield County,39.39,-107.21,14720
81624,Mesa County,39.23,-107.95,1000
